genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Pop,Wejdene,Anissa,62Pp6exz0ywSlBqvNqiY6Z,76,0.693,0.873,175753,0.505,0.0017,A,0.10800000000000001,-8.554,Major,0.0646,100.037,4/4,0.5820000000000001
Pop,Zoe Wees,Control,50Td3qilgs8BLtv8mHyT1t,81,0.643,0.599,230880,0.465,1.57e-06,E,0.149,-4.95,Major,0.0314,113.82,4/4,0.0678
Pop,Bosh,Djomb - Bien ou quoi,0KBwGCY9RYD9t2zjeW4h48,81,0.172,0.945,141893,0.6759999999999999,0.00036,C#,0.322,-6.6,Major,0.207,123.109,4/4,0.631
Pop,"Tiko, Dr. Sus",Fishy on Me,1k6GEdfONk9Fs6JgrC8aBN,74,0.6509999999999999,0.9079999999999999,132885,0.342,0.0,C#,0.195,-7.651,Major,0.196,99.959,4/4,0.505
Pop,Agust D,Daechwita,0H4ugk6rhnXmTl47ayy9O5,82,0.0229,0.65,225668,0.8270000000000001,0.0,G#,0.121,-4.013999999999999,Major,0.0599,144.995,4/4,0.223
Pop,jxdn,Angels & Demons,4GUj9MfPPkjpZskxb45uiX,81,0.11900000000000001,0.5539999999999999,160120,0.8,0.0,G#,0.629,-3.9360000000000004,Major,0.0395,115.056,4/4,0.46299999999999997
Pop,Blu DeTiger,Figure It Out,5G5qyRHlLmZgy915TBTCkB,72,0.493,0.747,164318,0.5539999999999999,0.000425,G#,0.332,-6.154,Minor,0.289,96.988,4/4,0.585
Pop,Music Hero,KLWKN,1pi3VCMlGVaXvrjlVOkBPN,69,0.575,0.493,256573,0.39399999999999996,0.0,D,0.267,-6.997000000000001,Major,0.0366,152.03,4/4,0.375
Pop,"Imanbek, Rasster",SAD - Imanbek xxx Remix,4x5ymi4akay9Fq5Xm1PW3E,72,0.491,0.746,174720,0.757,0.00124,F,0.0863,-6.077999999999999,Minor,0.054000000000000006,124.992,4/4,0.499
Pop,YOASOBI,夜に駆ける,3dPtXHP0oXQ4HCWHsOA9js,78,0.00231,0.67,261013,0.8740000000000001,1.7199999999999998e-05,G#,0.3,-5.221,Major,0.0305,130.041,4/4,0.789
Pop,Guyon Waton,Perlahan,01TdkJ0lorIzBsdks8X1Tb,72,0.675,0.659,300001,0.537,3.9200000000000004e-05,B,0.3,-9.644,Major,0.0343,127.962,4/4,0.39799999999999996
Pop,瑛人,香水,6y7FocfzyzkGLSHQdJVHhq,75,0.816,0.856,252594,0.35200000000000004,0.0,D#,0.0906,-6.9,Major,0.0408,121.77600000000001,4/4,0.7509999999999999
Pop,Niko B,Who's That What's That,6pRlNmiZ15mI0D0Y9VBjDe,70,0.423,0.86,240000,0.6679999999999999,1.85e-06,G,0.096,-8.512,Major,0.221,128.096,4/4,0.237
Pop,DISH//,Neko - The First Take Version,6F0aYmicNttntvth7FXQEx,46,0.564,0.6409999999999999,273233,0.5760000000000001,0.0,G#,0.114,-6.772,Major,0.139,77.005,4/4,0.622
Pop,Harry Nach,Tak Tiki Tak,6Hw21Z5CmEV78jrncFpMwz,73,0.336,0.8,212406,0.578,0.00031099999999999997,B,0.184,-4.779,Minor,0.0831,99.98899999999999,4/4,0.23399999999999999
Pop,"Smino, Monte Booker",Kolors,4IOYk6epkzXT38U4ShauZ6,76,0.263,0.718,177856,0.40299999999999997,1.56e-06,D,0.228,-11.064,Minor,0.205,129.582,4/4,0.636
